ox_code	population
AN0067-C	CMS
AN0068-C	CMS
AN0069-C	CMS
AN0070-C	CMS
AN0071-C	CMS
AN0072-C	CMS
AN0073-C	CMS
AN0074-C	CMS
AN0075-C	CMS
AN0076-C	CMS
AN0077-C	CMS
AN0079-C	CMS
AN0080-C	CMS
AN0081-C	CMS
AN0082-C	CMS
AN0083-C	CMS
AN0084-C	CMS
AN0085-C	CMS
AN0086-C	CMS
AN0087-C	CMS
AN0088-C	CMS
AN0089-C	CMS
AN0090-C	CMS
AN0091-C	CMS
AN0092-C	CMS
AN0093-C	CMS
AN0094-C	CMS
AN0095-C	CMS
AN0096-C	CMS
AN0097-C	CMS
AN0098-C	CMS
AN0099-C	CMS
AN0100-C	CMS
AN0101-C	CMS
AN0102-C	CMS
AN0103-C	CMS
AN0104-C	CMS
AN0105-C	CMS
AN0106-C	CMS
AN0107-C	CMS
AN0108-C	CMS
AN0109-C	CMS
AN0111-C	CMS
AN0112-C	CMS
AN0113-C	CMS
AN0114-C	CMS
AN0115-C	CMS
AN0117-C	CMS
AN0120-C	CMS
AN0121-C	CMS
AN0122-C	CMS
AN0123-C	CMS
AN0124-C	CMS
AN0125-C	CMS
AN0126-C	CMS
AN0127-C	CMS
AN0128-C	CMS
AN0129-C	CMS
AN0130-C	CMS
AN0131-C	CMS
AN0132-C	CMS
AN0134-C	CMS
AN0135-C	CMS
AN0136-C	CMS
AN0137-C	CMS
AN0138-C	CMS
AN0139-C	CMS
AN0140-C	CMS
AN0141-C	CMS
AN0143-C	CMS
AN0147-C	CMS
AN0149-C	CMS
AN0151-C	CMS
AN0152-C	CMS
AN0153-C	CMS
AN0154-C	CMS
AN0155-C	CMS
AN0156-C	CMS
AN0157-C	CMS
AN0158-C	CMS
AN0159-C	CMS
AN0160-C	CMS
AN0162-C	CMS
AN0163-C	CMS
AN0164-C	CMS
AN0165-C	CMS
AN0166-C	CMS
AN0167-C	CMS
AN0168-C	CMS
AN0169-C	CMS
AN0170-C	CMS
AN0171-C	CMS
AN0172-C	CMS
AN0173-C	CMS
AN0174-C	CMS
AN0175-C	CMS
AN0176-C	CMS
AN0177-C	CMS
AN0178-C	CMS
AN0179-C	CMS
AN0180-C	CMS
AN0181-C	CMS
AN0182-C	CMS
AN0183-C	CMS
AN0184-C	CMS
AN0185-C	CMS
AN0186-C	CMS
AN0187-C	CMS
AN0188-C	CMS
AN0189-C	CMS
AN0190-C	CMS
AN0191-C	CMS
AN0192-C	CMS
AN0193-C	CMS
AN0194-C	CMS
AN0196-C	CMS
AN0197-C	CMS
AN0198-C	CMS
AN0199-C	CMS
AN0200-C	CMS
AN0201-C	CMS
AN0202-C	CMS
AN0203-C	CMS
AN0204-C	CMS
AN0205-C	CMS
AN0206-C	CMS
AN0207-C	CMS
AN0208-C	CMS
AN0209-C	CMS
AN0210-C	CMS
AN0212-C	CMS
AN0213-C	CMS
AN0214-C	CMS
AN0215-C	CMS
AN0217-C	CMS
AN0218-C	CMS
AN0219-C	CMS
AN0220-C	CMS
AN0221-C	CMS
AN0222-C	CMS
AN0223-C	CMS
AN0224-C	CMS
AN0225-C	CMS
AN0226-C	CMS
AN0227-C	CMS
AN0228-C	CMS
AN0229-C	CMS
AN0230-C	CMS
AN0231-C	CMS
AN0233-C	CMS
AN0234-C	CMS
AN0235-C	CMS
AN0236-C	CMS
AN0237-C	CMS
AN0238-C	CMS
AN0239-C	CMS
AN0240-C	CMS
AN0241-C	CMS
AN0242-C	CMS
AN0243-C	CMS
AN0244-C	CMS
AN0245-C	CMS
AN0246-C	CMS
AN0247-C	CMS
AN0248-C	CMS
AN0250-C	CMS
AN0251-C	CMS
AN0252-C	CMS
AN0253-C	CMS
AN0254-C	CMS
AN0255-C	CMS
AN0256-C	CMS
AN0258-C	CMS
AN0259-C	CMS
AN0260-C	CMS
AN0261-C	CMS
AN0262-C	CMS
AN0263-C	CMS
AN0264-C	CMS
AN0266-C	CMS
AN0267-C	CMS
AN0268-C	CMS
AN0269-C	CMS
AN0270-C	CMS
AN0272-C	CMS
AN0275-C	CMS
AN0276-C	CMS
AN0277-C	CMS
AN0280-C	CMS
AN0282-C	CMS
AN0283-C	CMS
AN0284-C	CMS
AN0285-C	CMS
AN0286-C	CMS
AN0287-C	CMS
AN0288-C	CMS
AN0290-C	CMS
AN0291-C	CMS
AN0292-C	CMS
AN0294-C	CMS
AN0295-C	CMS
AN0296-C	CMS
AN0297-C	CMS
AN0298-C	CMS
AN0299-C	CMS
AN0300-C	CMS
AN0301-C	CMS
AN0303-C	CMS
AN0304-C	CMS
AN0305-C	CMS
AN0307-C	CMS
AN0308-C	CMS
AN0309-C	CMS
AN0310-C	CMS
AN0312-C	CMS
AN0313-C	CMS
AN0314-C	CMS
AN0315-C	CMS
AN0317-C	CMS
AN0318-C	CMS
AN0319-C	CMS
AN0321-C	CMS
AR0007-C	AOM
AR0008-C	AOM
AR0009-C	AOM
AR0010-C	AOM
AR0011-C	AOM
AR0012-C	AOM
AR0014-C	AOM
AR0015-C	AOM
AR0017-C	AOM
AR0019-C	AOM
AR0020-C	AOM
AR0021-C	AOM
AR0022-C	AOM
AR0023-C	AOM
AR0024-C	AOM
AR0026-C	AOM
AR0027-C	AOM
AR0034-C	AOM
AR0035-C	AOM
AR0042-C	AOM
AR0043-C	AOM
AR0045-C	AOM
AR0047-C	AOM
AR0049-C	AOM
AR0050-C	AOM
AR0051-C	AOM
AR0053-C	AOM
AR0054-C	AOM
AR0057-C	AOM
AR0059-C	AOM
AR0061-C	AOM
AR0062-C	AOM
AR0063-C	AOM
AR0065-C	AOM
AR0066-C	AOM
AR0069-C	AOM
AR0070-C	AOM
AR0071-C	AOM
AR0072-C	AOM
AR0073-C	AOM
AR0074-C	AOM
AR0075-C	AOM
AR0076-C	AOM
AR0078-C	AOM
AR0079-C	AOM
AR0080-C	AOM
AR0081-C	AOM
AR0083-C	AOM
AR0084-C	AOM
AR0086-C	AOM
AR0087-C	AOM
AR0089-C	AOM
AR0090-C	AOM
AR0092-C	AOM
AR0093-C	AOM
AR0095-C	AOM
AR0096-C	AOM
AR0098-C	AOM
AR0099-C	AOM
AR0100-C	AOM
AS0001-C	GAS
AS0002-C	GAS
AS0003-C	GAS
AS0004-C	GAS
AS0006-C	GAS
AS0007-C	GAS
AS0008-C	GAS
AS0009-C	GAS
AS0010-C	GAS
AS0011-C	GAS
AS0012-C	GAS
AS0013-C	GAS
AS0014-C	GAS
AS0015-C	GAS
AS0016-C	GAS
AS0017-C	GAS
AS0018-C	GAS
AS0019-C	GAS
AS0020-C	GAS
AS0021-C	GAS
AS0022-C	GAS
AS0024-C	GAS
AS0026-C	GAS
AS0028-C	GAS
AS0030-C	GAS
AS0032-C	GAS
AS0033-C	GAS
AS0034-C	GAS
AS0035-C	GAS
AS0036-C	GAS
AS0037-C	GAS
AS0039-C	GAS
AS0042-C	GAS
AS0044-C	GAS
AS0045-C	GAS
AS0047-C	GAS
AS0049-C	GAS
AS0052-C	GAS
AS0053-C	GAS
AS0054-C	GAS
AS0055-C	GAS
AS0056-C	GAS
AS0058-C	GAS
AS0059-C	GAS
AS0064-C	GAS
AS0065-C	GAS
AS0066-C	GAS
AS0068-C	GAS
AS0069-C	GAS
AS0070-C	GAS
AS0071-C	GAS
AS0072-C	GAS
AS0073-C	GAS
AS0074-C	GAS
AS0076-C	GAS
AS0077-C	GAS
AV0001-C	GNS
AV0002-C	GNS
AV0003-C	GNS
AV0004-C	GNS
AV0005-C	GNS
AV0007-C	GNS
AV0008-C	GNS
AV0009-C	GNS
AV0010-C	GNS
AV0011-C	GNS
AV0012-C	GNS
AV0013-C	GNS
AV0014-C	GNS
AV0015-C	GNS
AV0018-C	GNS
AV0024-C	GNS
AV0026-C	GNS
AV0027-C	GNS
AV0029-C	GNS
AV0030-C	GNS
AV0031-C	GNS
AV0032-C	GNS
AV0033-C	GNS
AV0034-C	GNS
AV0035-C	GNS
AV0036-C	GNS
AV0039-C	GNS
AV0041-C	GNS
AV0044-C	GNS
AV0045-C	GNS
AV0047-C	GNS
